87	1	79	89	33
8	93	46	90	3
46	7	71	91	68
87	77	60	22	18
68	100	92	21	86
31	100	70	45	47
99	76	60	80	30
15	75	75	92	98
86	64	34	34	33
7	76	43	100	54
83	10	25	21	31
65	11	73	13	89
56	98	3	19	77
5	77	1	14	34
93	15	8	39	94
73	38	40	80	40
83	63	10	94	75
9	90	36	53	32
79	89	17	2	68
17	28	44	64	64
49	51	58	12	20
34	32	56	48	59
85	7	21	7	7
97	82	100	37	68
94	25	97	27	77
71	70	98	92	78
49	36	24	1	59
85	69	52	43	90
30	80	51	68	93
75	9	74	48	59
46	46	73	90	48
80	64	67	55	29
69	1	58	75	50
38	28	77	52	20
25	84	51	39	81
40	45	72	81	89
7	44	28	51	73
71	44	91	40	52
1	34	97	33	57
21	48	69	26	31
96	40	81	15	92
60	26	54	28	55
6	93	2	50	85
46	65	21	41	61
23	15	27	19	33
77	81	30	89	88
91	92	65	56	25
12	2	21	45	48
34	44	71	40	98
7	25	48	96	37
83	84	57	69	23
65	97	36	27	80
3	52	34	61	48
72	97	100	40	82
20	75	81	60	56
22	41	88	67	26
89	81	12	66	83
46	93	12	59	73
85	20	70	21	29
68	33	75	74	94
60	9	17	84	70
22	85	4	30	77
71	78	52	18	65
23	79	30	50	62
64	31	52	25	15
11	18	78	74	58
27	6	19	41	56
47	72	27	14	66
21	4	55	1	60
77	85	22	28	88
41	68	14	76	83
52	80	22	50	93
86	62	32	34	12
78	35	56	15	54
21	61	8	21	82
3	38	58	78	94
70	24	90	61	10
74	49	10	58	8
60	23	83	14	87
95	61	22	88	79
23	7	98	85	49
86	47	55	31	35
5	75	88	32	46
9	39	69	73	11
46	67	99	82	18
96	93	67	88	76
3	47	53	68	100
52	67	95	13	99
87	77	21	45	58
48	33	67	4	65
79	65	96	31	76
75	21	63	34	92
30	94	76	66	70
38	73	56	80	63
17	89	60	36	36
73	97	86	9	45
85	6	36	89	13
96	39	27	36	77
98	30	82	46	48
66	41	71	30	68
29	49	16	83	82
84	85	39	92	14
85	36	38	20	81
84	45	25	39	28
69	13	92	11	23
20	2	29	93	74
73	36	3	58	13
73	11	13	82	57
18	18	13	92	23
83	14	52	97	43
83	9	8	21	93
44	22	84	63	66
16	96	67	67	74
27	2	42	4	6
37	17	27	14	25
56	30	69	78	3
44	26	23	100	68
28	78	58	58	99
20	99	90	42	42
12	34	24	46	5
28	85	13	35	26
10	98	46	93	9
38	88	97	35	30
18	19	34	39	30
68	82	80	50	15
18	91	100	93	76
33	88	71	15	96
49	30	86	13	9
16	29	47	98	62
2	79	13	97	68
94	32	29	38	12
22	89	50	47	92
60	41	86	48	67
30	82	31	83	14
49	25	52	77	86
58	25	59	44	28
76	30	42	90	15
81	14	4	5	16
60	19	26	9	46
13	89	24	67	2
91	18	93	11	14
10	46	63	11	8
85	24	49	67	22
86	19	97	43	74
8	28	31	39	60
44	86	5	35	91
67	46	37	93	98
6	45	15	92	96
44	57	19	93	23
47	5	64	92	7
40	86	21	84	38
11	55	54	92	75
62	78	22	32	100
83	7	94	77	51
30	81	15	61	83
19	22	27	21	62
18	60	54	36	24
8	17	6	16	24
78	69	50	39	72
5	78	28	19	25
47	88	21	95	68
9	67	64	73	56
1	18	52	22	36
46	12	68	84	47
89	71	33	83	89
78	25	24	88	58
35	91	81	70	67
11	82	63	83	25
94	98	62	33	21
89	1	52	94	32
65	39	16	49	75
90	1	98	1	24
92	29	42	8	80
93	76	8	3	3
20	52	34	54	1
90	53	39	57	78
49	68	2	53	13
97	73	78	68	2
87	28	37	32	21
10	35	47	40	4
52	16	44	1	69
17	48	79	27	29
55	78	50	96	86
69	79	74	78	73
78	37	25	35	93
70	65	77	50	73
18	24	28	35	19
93	41	72	89	2
26	63	49	73	6
28	92	10	59	64
99	90	77	87	2
14	38	17	66	37
9	94	60	41	88
83	29	67	18	87
6	43	75	78	3
67	52	8	19	74
20	77	36	14	39
50	45	30	66	83
77	77	1	59	22
22	43	73	58	62
100	53	89	65	98
85	37	93	76	19
71	85	69	46	85
36	75	93	46	99
66	85	90	76	62
11	89	1	62	46
32	14	65	41	34
86	70	100	17	49
1	52	54	43	1
81	2	74	63	97
79	9	67	3	90
59	3	10	11	38
42	26	47	45	42
38	4	94	45	53
40	74	3	75	51
18	88	7	19	86
51	13	65	2	53
25	98	42	60	78
72	62	74	41	99
42	33	92	2	11
92	3	95	88	70
85	82	73	21	26
53	81	70	28	85
100	97	72	15	36
40	76	4	34	44
47	50	39	2	61
87	88	40	9	30
29	71	20	21	53
59	24	7	29	48
40	28	82	19	43
53	76	43	87	19
76	84	77	58	46
70	87	48	31	43
11	44	6	94	97
99	100	28	30	35
90	22	58	23	17
23	17	57	13	46
77	59	64	78	66
18	65	88	6	53
48	23	10	81	82
80	76	17	29	97
60	30	16	45	65
15	79	27	84	26
51	21	96	11	49
97	62	59	88	92
49	37	91	90	25
74	31	16	89	53
36	95	42	83	54
26	80	80	84	64
90	1	53	69	44
20	24	18	50	81
95	80	28	82	92
61	70	76	2	9
5	7	86	46	81
58	21	74	82	73
33	75	4	44	69
99	95	96	11	69
92	75	58	41	100
26	2	61	75	56
23	74	6	47	62
66	45	75	20	96
26	75	21	60	21
85	78	40	54	88
34	50	62	54	100
34	22	27	59	30
46	13	27	1	61
68	78	2	8	30
23	94	40	86	24
98	77	54	50	39
78	19	49	89	74
74	55	45	53	69
23	20	99	37	62
34	13	7	10	88
72	50	14	77	32
24	64	25	28	96
33	67	28	65	88
65	2	13	84	61
97	75	83	81	58
100	12	41	28	80
3	65	72	28	40
46	19	73	6	24
55	89	25	43	25
62	16	14	55	12
41	44	52	23	49
98	95	75	24	36
